timestamp,market,timeframe,up_price,down_price,volume,outcome
2026-01-01T03:25:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:30:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:30:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:35:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T03:35:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:40:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T03:40:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T03:45:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:45:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:50:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:50:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:55:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T03:55:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:00:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:00:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:05:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:05:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T04:10:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:10:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:15:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:15:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:20:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:20:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:25:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T04:25:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T04:30:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:30:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T04:35:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:35:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:40:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T04:40:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:45:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:45:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:50:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T04:50:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T04:55:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T04:55:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:00:00Z,BTC-USD-5M-PM,5m,0,1,0,down
